course_title,department,department_full,all_departments,course_number,level,description,classification,sdgs,syllabus_url,semester
Peoples and Cultures of the World,ANTH,Anthropology,ANTH,205,Undergraduate,Survey of human cultures around the world using case studies of customs and cultural organization; case studies exemplifying contrasting types of cultures and societies. 3 credit hours. There are no prerequisites for this course.,Inclusive,10,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=60972,Summer 2025
Introduction to Anthropology,ANTH,Anthropology,ANTH,201,Undergraduate,"This course will provide students with an introduction to anthropology. Anthropology is the social science dedicated to the holistic and relativistic investigation of human life. The course will begin with an introduction to anthropology, followed by a detailed introduction to its four subfields (Biological, Archaeology, Cultural and Linguistic).",Inclusive,10,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=63840,Summer 2025
Architecture Design V,ARCH,Architecture,ARCH,406,Undergraduate,"This course focuses on the integration of research, design, technology, and graphics, to elevate their proficiency and effectiveness in these core areas. Students will explore research methodologies, architectural theories, and contemporary trends within the discipline and practice of architecture and design. An essential objective is to refine their skills in these key areas of the design process and create a framework for informed design decisions. Design challenges provide opportunity to apply acquired knowledge and fostering critical thinking. The course integrates advanced tools and software, while emphasizing graphics techniques for compelling visual communication. Advanced graphics techniques are emphasized for effective visual communication. The synthesis of these elements ensures that students exit with an enriched skill set, poised to navigate the complexities of professional architectural practice.",Inclusive,11,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202611&crn=60081,Summer 2025
Design Foundations I,ARCH,Architecture,ARCH,105,Undergraduate,"Architectural design principles; development of skills in perception, thought and craft as they apply to the formation of two- and three-dimensional relationships. At the end of the semester, students are expected to have a visual vocabulary of drawing and abstract architectonic representation methods and the way they relate to the design process and its presentation. This course will cover methodologies and workflows for both analog and digital skills used to represent (visually express) and communicate design.",Inclusive,11,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=57153,Summer 2025
ENGL 104 Support,ASCC,Academic Success Center,ASCC,003,Undergraduate,"This course is designed to academically support students co-enrolled in ENGL 104 with any additional skills needed for compliance with the Texas Success Initiative. Instruction is based on the student’s skill level and progression with graded assignments. The ultimate goal in this course is to provide the students with resources that are needed for succeeding in college-level academics, specifically in ENGL 104.",Inclusive,4,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=55127,Summer 2025
Special Topics: Academic Component of Hullabaloo U for Gateway,ASCC,Academic Success Center,ASCC,289,Undergraduate,ASCC 289 is a study of effective learning strategies and an introduction to campus resources designed for students participating in the Gateway program.,Inclusive,4,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=63105,Summer 2025
Weather and Climate,ATMO,Atmospheric Sciences,ATMO,201,Undergraduate,"Structure, energy and motions of the atmosphere; climate; fronts and cyclones; atmospheric stability; clouds and precipitation; severe storms. Basic physical and atmospheric principles will need to be addressed first to provide context for understanding weather and climate, including the fun parts of severe and hazardous weather.",Inclusive,13,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=42681,Summer 2025
Biomedical and Health Data Science,BMEN,Biomedical Engineering,BMEN,351,Undergraduate,"Exploration of applications of data analytics, machine learning, and deep learning in health sciences and biomedical data; topics include theoretical foundations, algorithms and methods of deriving valuable insights from data, predictive health analysis, electronic health records, medical image analysis.",Inclusive,9,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=63771,Summer 2025
Imaging Living Systems,BMEN,Biomedical Engineering,BMEN,311,Undergraduate,"Examination of microscopy and clinical imaging modalities in biomedical applications across intracellular to whole body length scales; microscopy topics include optical, electron, scanning probe, infrared, intravital, and other techniques; clinical imaging techniques to be covered include x-ray, ultrasound, magnetic resonance imaging, computed and positron emission tomography, and other specialized clinical imaging.",Inclusive,9,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=54609,Summer 2025
Cloud Computing,CSCE,Computer Science and Engineering,CSCE,412,Undergraduate,"Operating systems and distributed systems fields that form the basis of cloud computing, such as virtualization, key-value storage solutions, group membership, failure detection, peer-to-peer systems, datacenter networking, resource management, and scalability; popular frameworks such as MapReduce and HDFS, and case studies on failure determination.",Inclusive,"8,9",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=50192,Summer 2025
Operating Systems,CSCE,Computer Science and Engineering,CSCE,410,Undergraduate,"Hardware/software evolution leading to contemporary operating systems; basic operating systems concepts; methods of operating systems design and construction including algorithms for CPU scheduling, memory and general resource allocation, process coordination and management; case studies of several operating systems",Inclusive,"8,9",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=59811,Summer 2025
Fundamentals of Cybersecurity,CSCE,Computer Science and Engineering,CSCE,210,Undergraduate,"Basic terminology, concepts, technology, and trends of cybersecurity; foundations of cybersecurity to include cryptography, public key infrastructure, standards and protocols, physical security, network fundamentals; workings of systems, networks, infrastructure; legal and ethical issues in cybersecurity.",Inclusive,"8,9",,Summer 2025
